,Senator Name,Decision,Bill
0,Alexander (R-TN),0,0
1,Baldwin (D-WI),0,0
2,Barrasso (R-WY),0,0
3,Bennet (D-CO),0,0
4,Blumenthal (D-CT),0,0
5,Blunt (R-MO),0,0
6,Booker (D-NJ),0,0
7,Boozman (R-AR),0,0
8,Brown (D-OH),0,0
9,Burr (R-NC),0,0
10,Cantwell (D-WA),0,0
11,Capito (R-WV),0,0
12,Cardin (D-MD),0,0
13,Carper (D-DE),0,0
14,Casey (D-PA),0,0
15,Cassidy (R-LA),0,0
16,Cochran (R-MS),0,0
17,Collins (R-ME),0,0
18,Coons (D-DE),0,0
19,Corker (R-TN),0,0
20,Cornyn (R-TX),0,0
21,Cortez Masto (D-NV),0,0
22,Cotton (R-AR),0,0
23,Crapo (R-ID),0,0
24,Cruz (R-TX),0,0
25,Daines (R-MT),0,0
26,Donnelly (D-IN),0,0
27,Duckworth (D-IL),0,0
28,Durbin (D-IL),0,0
29,Enzi (R-WY),0,0
30,Ernst (R-IA),0,0
31,Feinstein (D-CA),0,0
32,Fischer (R-NE),0,0
33,Flake (R-AZ),0,0
34,Franken (D-MN),0,0
35,Gardner (R-CO),0,0
36,Gillibrand (D-NY),0,0
37,Graham (R-SC),0,0
38,Grassley (R-IA),0,0
39,Harris (D-CA),0,0
40,Hassan (D-NH),0,0
41,Hatch (R-UT),0,0
42,Heinrich (D-NM),0,0
43,Heitkamp (D-ND),0,0
44,Heller (R-NV),0,0
45,Hirono (D-HI),0,0
46,Hoeven (R-ND),0,0
47,Inhofe (R-OK),0,0
48,Isakson (R-GA),0,0
49,Johnson (R-WI),0,0
50,Kaine (D-VA),0,0
51,Kennedy (R-LA),0,0
52,King (I-ME),0,0
53,Klobuchar (D-MN),0,0
54,Lankford (R-OK),0,0
55,Leahy (D-VT),0,0
56,Lee (R-UT),0,0
57,Manchin (D-WV),0,0
58,Markey (D-MA),0,0
59,McCain (R-AZ),0,0
60,McCaskill (D-MO),0,0
61,McConnell (R-KY),0,0
62,Menendez (D-NJ),0,0
63,Merkley (D-OR),0,0
64,Moran (R-KS),0,0
65,Murkowski (R-AK),0,0
66,Murphy (D-CT),0,0
67,Murray (D-WA),0,0
68,Nelson (D-FL),0,0
69,Paul (R-KY),1,0
70,Perdue (R-GA),0,0
71,Peters (D-MI),0,0
72,Portman (R-OH),0,0
73,Reed (D-RI),0,0
74,Risch (R-ID),0,0
75,Roberts (R-KS),0,0
76,Rounds (R-SD),0,0
77,Rubio (R-FL),0,0
78,Sanders (I-VT),1,0
79,Sasse (R-NE),0,0
80,Schatz (D-HI),0,0
81,Schumer (D-NY),0,0
82,Scott (R-SC),0,0
83,Shaheen (D-NH),0,0
84,Shelby (R-AL),0,0
85,Stabenow (D-MI),0,0
86,Strange (R-AL),0,0
87,Sullivan (R-AK),0,0
88,Tester (D-MT),0,0
89,Thune (R-SD),0,0
90,Tillis (R-NC),0,0
91,Toomey (R-PA),0,0
92,Udall (D-NM),0,0
93,Van Hollen (D-MD),0,0
94,Warner (D-VA),0,0
95,Warren (D-MA),0,0
96,Whitehouse (D-RI),0,0
97,Wicker (R-MS),0,0
98,Wyden (D-OR),0,0
99,Young (R-IN),0,0
100,Alexander (R-TN),0,1
101,Baldwin (D-WI),0,1
102,Barrasso (R-WY),0,1
103,Bennet (D-CO),0,1
104,Blumenthal (D-CT),0,1
105,Blunt (R-MO),0,1
106,Booker (D-NJ),0,1
107,Boozman (R-AR),0,1
108,Brown (D-OH),0,1
109,Burr (R-NC),0,1
110,Cantwell (D-WA),0,1
111,Capito (R-WV),0,1
112,Cardin (D-MD),0,1
113,Carper (D-DE),0,1
114,Casey (D-PA),0,1
115,Cassidy (R-LA),0,1
116,Cochran (R-MS),0,1
117,Collins (R-ME),0,1
118,Coons (D-DE),0,1
119,Corker (R-TN),0,1
120,Cornyn (R-TX),0,1
121,Cortez Masto (D-NV),0,1
122,Cotton (R-AR),0,1
123,Crapo (R-ID),0,1
124,Cruz (R-TX),0,1
125,Daines (R-MT),0,1
126,Donnelly (D-IN),0,1
127,Duckworth (D-IL),0,1
128,Durbin (D-IL),0,1
129,Enzi (R-WY),0,1
130,Ernst (R-IA),0,1
131,Feinstein (D-CA),0,1
132,Fischer (R-NE),0,1
133,Flake (R-AZ),0,1
134,Franken (D-MN),0,1
135,Gardner (R-CO),0,1
136,Gillibrand (D-NY),0,1
137,Graham (R-SC),0,1
138,Grassley (R-IA),0,1
139,Harris (D-CA),0,1
140,Hassan (D-NH),0,1
141,Hatch (R-UT),0,1
142,Heinrich (D-NM),0,1
143,Heitkamp (D-ND),0,1
144,Heller (R-NV),0,1
145,Hirono (D-HI),0,1
146,Hoeven (R-ND),0,1
147,Inhofe (R-OK),0,1
148,Isakson (R-GA),0,1
149,Johnson (R-WI),0,1
150,Kaine (D-VA),0,1
151,Kennedy (R-LA),0,1
152,King (I-ME),0,1
153,Klobuchar (D-MN),0,1
154,Lankford (R-OK),0,1
155,Leahy (D-VT),0,1
156,Lee (R-UT),1,1
157,Manchin (D-WV),0,1
158,Markey (D-MA),0,1
159,McCain (R-AZ),0,1
160,McCaskill (D-MO),0,1
161,McConnell (R-KY),0,1
162,Menendez (D-NJ),0,1
163,Merkley (D-OR),0,1
164,Moran (R-KS),0,1
165,Murkowski (R-AK),0,1
166,Murphy (D-CT),0,1
167,Murray (D-WA),0,1
168,Nelson (D-FL),0,1
169,Paul (R-KY),1,1
170,Perdue (R-GA),0,1
171,Peters (D-MI),0,1
172,Portman (R-OH),0,1
173,Reed (D-RI),0,1
174,Risch (R-ID),0,1
175,Roberts (R-KS),0,1
176,Rounds (R-SD),0,1
177,Rubio (R-FL),0,1
178,Sanders (I-VT),0,1
179,Sasse (R-NE),0,1
180,Schatz (D-HI),0,1
181,Schumer (D-NY),0,1
182,Scott (R-SC),0,1
183,Shaheen (D-NH),0,1
184,Shelby (R-AL),0,1
185,Stabenow (D-MI),0,1
186,Strange (R-AL),0,1
187,Sullivan (R-AK),0,1
188,Tester (D-MT),0,1
189,Thune (R-SD),0,1
190,Tillis (R-NC),0,1
191,Toomey (R-PA),0,1
192,Udall (D-NM),0,1
193,Van Hollen (D-MD),2,1
194,Warner (D-VA),0,1
195,Warren (D-MA),0,1
196,Whitehouse (D-RI),0,1
197,Wicker (R-MS),0,1
198,Wyden (D-OR),0,1
199,Young (R-IN),0,1
200,Alexander (R-TN),1,2
201,Baldwin (D-WI),0,2
202,Barrasso (R-WY),1,2
203,Bennet (D-CO),0,2
204,Blumenthal (D-CT),0,2
205,Blunt (R-MO),1,2
206,Booker (D-NJ),0,2
207,Boozman (R-AR),1,2
208,Brown (D-OH),0,2
209,Burr (R-NC),1,2
210,Cantwell (D-WA),0,2
211,Capito (R-WV),1,2
212,Cardin (D-MD),0,2
213,Carper (D-DE),0,2
214,Casey (D-PA),0,2
215,Cassidy (R-LA),1,2
216,Cochran (R-MS),1,2
217,Collins (R-ME),1,2
218,Coons (D-DE),0,2
219,Corker (R-TN),1,2
220,Cornyn (R-TX),1,2
221,Cortez Masto (D-NV),0,2
222,Cotton (R-AR),1,2
223,Crapo (R-ID),1,2
224,Cruz (R-TX),1,2
225,Daines (R-MT),1,2
226,Donnelly (D-IN),1,2
227,Duckworth (D-IL),0,2
228,Durbin (D-IL),0,2
229,Enzi (R-WY),1,2
230,Ernst (R-IA),1,2
231,Feinstein (D-CA),0,2
232,Fischer (R-NE),1,2
233,Flake (R-AZ),1,2
234,Franken (D-MN),0,2
235,Gardner (R-CO),1,2
236,Gillibrand (D-NY),0,2
237,Graham (R-SC),1,2
238,Grassley (R-IA),1,2
239,Harris (D-CA),0,2
240,Hassan (D-NH),0,2
241,Hatch (R-UT),1,2
242,Heinrich (D-NM),0,2
243,Heitkamp (D-ND),0,2
244,Heller (R-NV),0,2
245,Hirono (D-HI),0,2
246,Hoeven (R-ND),1,2
247,Inhofe (R-OK),1,2
248,Isakson (R-GA),1,2
249,Johnson (R-WI),1,2
250,Kaine (D-VA),0,2
251,Kennedy (R-LA),1,2
252,King (I-ME),0,2
253,Klobuchar (D-MN),0,2
254,Lankford (R-OK),1,2
255,Leahy (D-VT),0,2
256,Lee (R-UT),0,2
257,Manchin (D-WV),1,2
258,Markey (D-MA),0,2
259,McCain (R-AZ),1,2
260,McCaskill (D-MO),1,2
261,McConnell (R-KY),1,2
262,Menendez (D-NJ),0,2
263,Merkley (D-OR),0,2
264,Moran (R-KS),1,2
265,Murkowski (R-AK),1,2
266,Murphy (D-CT),0,2
267,Murray (D-WA),0,2
268,Nelson (D-FL),1,2
269,Paul (R-KY),0,2
270,Perdue (R-GA),1,2
271,Peters (D-MI),0,2
272,Portman (R-OH),1,2
273,Reed (D-RI),0,2
274,Risch (R-ID),1,2
275,Roberts (R-KS),1,2
276,Rounds (R-SD),1,2
277,Rubio (R-FL),1,2
278,Sanders (I-VT),0,2
279,Sasse (R-NE),1,2
280,Schatz (D-HI),0,2
281,Schumer (D-NY),0,2
282,Scott (R-SC),1,2
283,Shaheen (D-NH),0,2
284,Shelby (R-AL),1,2
285,Stabenow (D-MI),0,2
286,Strange (R-AL),1,2
287,Sullivan (R-AK),1,2
288,Tester (D-MT),0,2
289,Thune (R-SD),1,2
290,Tillis (R-NC),1,2
291,Toomey (R-PA),1,2
292,Udall (D-NM),0,2
293,Van Hollen (D-MD),0,2
294,Warner (D-VA),1,2
295,Warren (D-MA),0,2
296,Whitehouse (D-RI),0,2
297,Wicker (R-MS),1,2
298,Wyden (D-OR),0,2
299,Young (R-IN),0,2
300,Alexander (R-TN),0,3
301,Baldwin (D-WI),1,3
302,Barrasso (R-WY),0,3
303,Bennet (D-CO),1,3
304,Blumenthal (D-CT),1,3
305,Blunt (R-MO),0,3
306,Booker (D-NJ),1,3
307,Boozman (R-AR),0,3
308,Brown (D-OH),1,3
309,Burr (R-NC),0,3
310,Cantwell (D-WA),1,3
311,Capito (R-WV),0,3
312,Cardin (D-MD),1,3
313,Carper (D-DE),1,3
314,Casey (D-PA),1,3
315,Cassidy (R-LA),0,3
316,Cochran (R-MS),0,3
317,Collins (R-ME),0,3
318,Coons (D-DE),1,3
319,Corker (R-TN),0,3
320,Cornyn (R-TX),0,3
321,Cortez Masto (D-NV),1,3
322,Cotton (R-AR),0,3
323,Crapo (R-ID),0,3
324,Cruz (R-TX),0,3
325,Daines (R-MT),0,3
326,Donnelly (D-IN),1,3
327,Duckworth (D-IL),1,3
328,Durbin (D-IL),1,3
329,Enzi (R-WY),0,3
330,Ernst (R-IA),0,3
331,Feinstein (D-CA),1,3
332,Fischer (R-NE),0,3
333,Flake (R-AZ),0,3
334,Franken (D-MN),1,3
335,Gardner (R-CO),0,3
336,Gillibrand (D-NY),1,3
337,Graham (R-SC),0,3
338,Grassley (R-IA),0,3
339,Harris (D-CA),1,3
340,Hassan (D-NH),1,3
341,Hatch (R-UT),0,3
342,Heinrich (D-NM),1,3
343,Heitkamp (D-ND),1,3
344,Heller (R-NV),0,3
345,Hirono (D-HI),1,3
346,Hoeven (R-ND),0,3
347,Inhofe (R-OK),0,3
348,Isakson (R-GA),2,3
349,Johnson (R-WI),0,3
350,Kaine (D-VA),1,3
351,Kennedy (R-LA),0,3
352,King (I-ME),1,3
353,Klobuchar (D-MN),1,3
354,Lankford (R-OK),0,3
355,Leahy (D-VT),1,3
356,Lee (R-UT),0,3
357,Manchin (D-WV),1,3
358,Markey (D-MA),1,3
359,McCain (R-AZ),0,3
360,McCaskill (D-MO),1,3
361,McConnell (R-KY),0,3
362,Menendez (D-NJ),1,3
363,Merkley (D-OR),1,3
364,Moran (R-KS),0,3
365,Murkowski (R-AK),0,3
366,Murphy (D-CT),1,3
367,Murray (D-WA),1,3
368,Nelson (D-FL),1,3
369,Paul (R-KY),2,3
370,Perdue (R-GA),0,3
371,Peters (D-MI),1,3
