,0,1
0,Alexander (R-TN),Yea
1,Baldwin (D-WI),Yea
2,Barrasso (R-WY),Yea
3,Bennet (D-CO),Yea
4,Blackburn (R-TN),Yea
5,Blumenthal (D-CT),Yea
6,Blunt (R-MO),Yea
7,Booker (D-NJ),Not Voting
8,Boozman (R-AR),Yea
9,Braun (R-IN),Nay
10,Brown (D-OH),Yea
11,Burr (R-NC),Yea
12,Cantwell (D-WA),Yea
13,Capito (R-WV),Yea
14,Cardin (D-MD),Yea
15,Carper (D-DE),Yea
16,Casey (D-PA),Yea
17,Cassidy (R-LA),Yea
18,Collins (R-ME),Yea
19,Coons (D-DE),Yea
20,Cornyn (R-TX),Yea
21,Cortez Masto (D-NV),Yea
22,Cotton (R-AR),Yea
23,Cramer (R-ND),Yea
24,Crapo (R-ID),Yea
25,Cruz (R-TX),Yea
26,Daines (R-MT),Yea
27,Duckworth (D-IL),Yea
28,Durbin (D-IL),Yea
29,Enzi (R-WY),Nay
30,Ernst (R-IA),Yea
31,Feinstein (D-CA),Yea
32,Fischer (R-NE),Yea
33,Gardner (R-CO),Yea
34,Gillibrand (D-NY),Nay
35,Graham (R-SC),Yea
36,Grassley (R-IA),Yea
37,Harris (D-CA),Not Voting
38,Hassan (D-NH),Yea
39,Hawley (R-MO),Yea
40,Heinrich (D-NM),Yea
41,Hirono (D-HI),Yea
42,Hoeven (R-ND),Yea
43,Hyde-Smith (R-MS),Yea
44,Inhofe (R-OK),Yea
45,Isakson (R-GA),Not Voting
46,Johnson (R-WI),Yea
47,Jones (D-AL),Yea
48,Kaine (D-VA),Yea
49,Kennedy (R-LA),Yea
50,King (I-ME),Yea
51,Klobuchar (D-MN),Not Voting
52,Lankford (R-OK),Yea
53,Leahy (D-VT),Yea
54,Lee (R-UT),Nay
55,Manchin (D-WV),Yea
56,Markey (D-MA),Nay
57,McConnell (R-KY),Yea
58,McSally (R-AZ),Yea
59,Menendez (D-NJ),Yea
60,Merkley (D-OR),Nay
61,Moran (R-KS),Yea
62,Murkowski (R-AK),Yea
63,Murphy (D-CT),Yea
64,Murray (D-WA),Yea
65,Paul (R-KY),Nay
66,Perdue (R-GA),Yea
67,Peters (D-MI),Yea
68,Portman (R-OH),Yea
69,Reed (D-RI),Yea
70,Risch (R-ID),Yea
71,Roberts (R-KS),Yea
72,Romney (R-UT),Yea
73,Rosen (D-NV),Yea
74,Rounds (R-SD),Yea
75,Rubio (R-FL),Yea
76,Sanders (I-VT),Not Voting
77,Sasse (R-NE),Yea
78,Schatz (D-HI),Yea
79,Schumer (D-NY),Yea
80,Scott (R-FL),Yea
81,Scott (R-SC),Yea
82,Shaheen (D-NH),Yea
83,Shelby (R-AL),Yea
84,Sinema (D-AZ),Yea
85,Smith (D-MN),Yea
86,Stabenow (D-MI),Yea
87,Sullivan (R-AK),Yea
88,Tester (D-MT),Yea
89,Thune (R-SD),Yea
90,Tillis (R-NC),Yea
91,Toomey (R-PA),Yea
92,Udall (D-NM),Yea
93,Van Hollen (D-MD),Yea
94,Warner (D-VA),Yea
95,Warren (D-MA),Not Voting
96,Whitehouse (D-RI),Yea
97,Wicker (R-MS),Yea
98,Wyden (D-OR),Nay
99,Young (R-IN),Yea
100,Alexander (R-TN),Yea
101,Baldwin (D-WI),Yea
102,Barrasso (R-WY),Yea
103,Bennet (D-CO),Yea
104,Blackburn (R-TN),Yea
105,Blumenthal (D-CT),Yea
106,Blunt (R-MO),Yea
107,Booker (D-NJ),Not Voting
108,Boozman (R-AR),Yea
109,Braun (R-IN),Nay
110,Brown (D-OH),Yea
111,Burr (R-NC),Yea
112,Cantwell (D-WA),Yea
113,Capito (R-WV),Yea
114,Cardin (D-MD),Yea
115,Carper (D-DE),Yea
116,Casey (D-PA),Yea
117,Cassidy (R-LA),Nay
118,Collins (R-ME),Yea
119,Coons (D-DE),Yea
120,Cornyn (R-TX),Yea
121,Cortez Masto (D-NV),Yea
122,Cotton (R-AR),Yea
123,Cramer (R-ND),Yea
124,Crapo (R-ID),Yea
125,Cruz (R-TX),Yea
126,Daines (R-MT),Yea
127,Duckworth (D-IL),Yea
128,Durbin (D-IL),Yea
129,Enzi (R-WY),Nay
130,Ernst (R-IA),Yea
131,Feinstein (D-CA),Yea
132,Fischer (R-NE),Yea
133,Gardner (R-CO),Yea
134,Gillibrand (D-NY),Nay
135,Graham (R-SC),Yea
136,Grassley (R-IA),Yea
137,Harris (D-CA),Not Voting
138,Hassan (D-NH),Yea
139,Hawley (R-MO),Yea
140,Heinrich (D-NM),Yea
141,Hirono (D-HI),Yea
142,Hoeven (R-ND),Yea
143,Hyde-Smith (R-MS),Yea
144,Inhofe (R-OK),Yea
145,Isakson (R-GA),Not Voting
146,Johnson (R-WI),Nay
147,Jones (D-AL),Yea
148,Kaine (D-VA),Yea
149,Kennedy (R-LA),Nay
150,King (I-ME),Yea
151,Klobuchar (D-MN),Not Voting
152,Lankford (R-OK),Yea
153,Leahy (D-VT),Yea
154,Lee (R-UT),Nay
155,Manchin (D-WV),Yea
156,Markey (D-MA),Nay
157,McConnell (R-KY),Yea
158,McSally (R-AZ),Yea
159,Menendez (D-NJ),Yea
160,Merkley (D-OR),Yea
161,Moran (R-KS),Yea
162,Murkowski (R-AK),Yea
163,Murphy (D-CT),Yea
164,Murray (D-WA),Yea
165,Paul (R-KY),Nay
166,Perdue (R-GA),Yea
167,Peters (D-MI),Yea
168,Portman (R-OH),Yea
169,Reed (D-RI),Yea
170,Risch (R-ID),Yea
171,Roberts (R-KS),Yea
172,Romney (R-UT),Nay
173,Rosen (D-NV),Yea
174,Rounds (R-SD),Yea
175,Rubio (R-FL),Yea
176,Sanders (I-VT),Not Voting
177,Sasse (R-NE),Yea
178,Schatz (D-HI),Yea
179,Schumer (D-NY),Yea
180,Scott (R-FL),Yea
181,Scott (R-SC),Yea
182,Shaheen (D-NH),Yea
183,Shelby (R-AL),Yea
184,Sinema (D-AZ),Yea
185,Smith (D-MN),Yea
186,Stabenow (D-MI),Yea
187,Sullivan (R-AK),Yea
188,Tester (D-MT),Yea
189,Thune (R-SD),Yea
190,Tillis (R-NC),Yea
191,Toomey (R-PA),Nay
192,Udall (D-NM),Yea
193,Van Hollen (D-MD),Yea
194,Warner (D-VA),Yea
195,Warren (D-MA),Not Voting
196,Whitehouse (D-RI),Yea
197,Wicker (R-MS),Yea
198,Wyden (D-OR),Nay
199,Young (R-IN),Yea
200,Alexander (R-TN),Yea
201,Baldwin (D-WI),Yea
202,Barrasso (R-WY),Yea
203,Bennet (D-CO),Not Voting
204,Blackburn (R-TN),Yea
205,Blumenthal (D-CT),Yea
206,Blunt (R-MO),Yea
207,Booker (D-NJ),Not Voting
208,Boozman (R-AR),Yea
209,Braun (R-IN),Nay
210,Brown (D-OH),Yea
211,Burr (R-NC),Yea
212,Cantwell (D-WA),Yea
213,Capito (R-WV),Yea
214,Cardin (D-MD),Yea
215,Carper (D-DE),Nay
216,Casey (D-PA),Yea
217,Cassidy (R-LA),Not Voting
218,Collins (R-ME),Yea
219,Coons (D-DE),Yea
220,Cornyn (R-TX),Yea
221,Cortez Masto (D-NV),Yea
222,Cotton (R-AR),Yea
223,Cramer (R-ND),Yea
224,Crapo (R-ID),Yea
225,Cruz (R-TX),Yea
226,Daines (R-MT),Not Voting
227,Duckworth (D-IL),Not Voting
228,Durbin (D-IL),Yea
229,Enzi (R-WY),Nay
230,Ernst (R-IA),Yea
231,Feinstein (D-CA),Yea
232,Fischer (R-NE),Yea
233,Gardner (R-CO),Yea
234,Gillibrand (D-NY),Nay
235,Graham (R-SC),Not Voting
236,Grassley (R-IA),Yea
237,Harris (D-CA),Not Voting
238,Hassan (D-NH),Yea
239,Hawley (R-MO),Yea
240,Heinrich (D-NM),Yea
241,Hirono (D-HI),Yea
242,Hoeven (R-ND),Yea
243,Hyde-Smith (R-MS),Yea
244,Inhofe (R-OK),Yea
245,Isakson (R-GA),Not Voting
246,Johnson (R-WI),Yea
247,Jones (D-AL),Yea
248,Kaine (D-VA),Yea
249,Kennedy (R-LA),Not Voting
250,King (I-ME),Yea
251,Klobuchar (D-MN),Not Voting
252,Lankford (R-OK),Yea
253,Leahy (D-VT),Yea
254,Lee (R-UT),Nay
255,Manchin (D-WV),Yea
256,Markey (D-MA),Not Voting
257,McConnell (R-KY),Yea
258,McSally (R-AZ),Yea
259,Menendez (D-NJ),Yea
260,Merkley (D-OR),Not Voting
261,Moran (R-KS),Yea
262,Murkowski (R-AK),Yea
263,Murphy (D-CT),Yea
264,Murray (D-WA),Yea
265,Paul (R-KY),Nay
266,Perdue (R-GA),Not Voting
267,Peters (D-MI),Yea
268,Portman (R-OH),Yea
269,Reed (D-RI),Yea
270,Risch (R-ID),Yea
271,Roberts (R-KS),Yea
272,Romney (R-UT),Yea
273,Rosen (D-NV),Yea
274,Rounds (R-SD),Yea
275,Rubio (R-FL),Yea
276,Sanders (I-VT),Not Voting
277,Sasse (R-NE),Not Voting
278,Schatz (D-HI),Yea
279,Schumer (D-NY),Yea
280,Scott (R-FL),Yea
281,Scott (R-SC),Yea
282,Shaheen (D-NH),Yea
283,Shelby (R-AL),Yea
284,Sinema (D-AZ),Yea
285,Smith (D-MN),Yea
286,Stabenow (D-MI),Yea
287,Sullivan (R-AK),Yea
288,Tester (D-MT),Yea
289,Thune (R-SD),Yea
290,Tillis (R-NC),Yea
291,Toomey (R-PA),Not Voting
292,Udall (D-NM),Yea
293,Van Hollen (D-MD),Yea
294,Warner (D-VA),Yea
295,Warren (D-MA),Not Voting
296,Whitehouse (D-RI),Yea
297,Wicker (R-MS),Yea
298,Wyden (D-OR),Not Voting
299,Young (R-IN),Yea
300,Alexander (R-TN),Yea
301,Baldwin (D-WI),Yea
302,Barrasso (R-WY),Yea
303,Bennet (D-CO),Not Voting
304,Blackburn (R-TN),Yea
305,Blumenthal (D-CT),Yea
306,Blunt (R-MO),Yea
